Número de Serie,month,bins,Temperatura,Oxygen,Profunditat,Salinitat,Saturació O2
3711375,7,1455 - 1456,13.1887,4.300454545,1455.984545,38.51,259.4069
3711375,7,1456 - 1457,13.20398664,4.288104564,1456.154807,38.51370373,259.3211881
3711375,8,1455 - 1456,13.1939,4.294,1455.99,38.5125,259.37575
3711375,8,1456 - 1457,13.18805459,4.316991662,1456.196673,38.50818288,259.4134926
3711375,9,1456 - 1457,13.18521503,4.332912012,1456.314947,38.50063915,259.4405879
3711375,10,1456 - 1457,13.18051333,4.33971907,1456.373529,38.49435885,259.4753805
3711375,11,1456 - 1457,13.19238689,4.319310418,1456.365661,38.49694968,259.4090486
3711375,12,1456 - 1457,13.20154567,4.298784044,1456.402974,38.50004402,259.3561653
3713016,9,706 - 707,13.54510789,3.924263158,706.4603158,38.60475658,256.7882395
3713017,9,1964 - 1965,13.2356,4.613,1964.9225,38.4935,259.62355
3713017,9,1965 - 1966,13.23691905,4.396714286,1965.382361,38.49145578,259.6201415
3713018,9,2165 - 2166,13.259,4.5367,2165.9476,38.4861,259.68899
3713018,9,2166 - 2167,13.25933453,4.400561151,2166.160173,38.48606475,259.6874698
3716360,9,2367 - 2368,13.28334286,4.419265306,2367.207279,38.49161224,259.7317633
3720423,9,958 - 959,13.38969315,4.03859589,958.8250753,38.56564589,257.8587753
